Name,Yelp Alias,SIPS_URL,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_URL,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,RW_PHOTO,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,RW_Score,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities,Yelp Rating,Review Count,Phone
Gooey Looie's,gooey-looies-philadelphia,,,,,,,,,,,"231 McClellan St, Philadelphia, PA 19148",39.92534,-75.15075,https://gooey-looies.weeblyte.com,"['Delis', 'Sandwiches', 'Cheesesteaks']",$,294.0,,N,N,['Pennsport'],10:30 AM - 7:30 PM,10:30 AM - 7:30 PM,10:30 AM - 7:30 PM,10:30 AM - 7:30 PM,10:30 AM - 7:30 PM,10:30 AM - 7:00 PM,Closed,,4.3,31.0,37.0,"Street Parking, Bike Parking, Private Lot Parking",,,,Dinner,"Offers Delivery, Offers Catering",,Moderate Noise,,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
Graffiti Bar,graffiti-bar-philadelphia,,,,,,,,,,,"124 S 13th St, Sampan Restaurant, Philadelphia, PA 19107",39.9495667,-75.1623991,http://sampanphilly.com/graffiti-bar/,['Lounges'],$$,392.0,,N,N,['Avenue of the Arts South'],4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 10:00 PM,True,4.1,45.0,39.0,"Street Parking, Bike Parking","Monday, Friday, Saturday",Credit Cards,,Dinner,,,"Trendy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
Gran Caffe L'Aquila,gran-caffe-l-aquila-philadelphia,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#gran-caffe-l-aquila,"Margarita Calabrese - Hornitos Tequila, Caffo Orange Liqueur, fresh squeezed lemon & a limoncello kiss.","Bianco: Falanghina Sanino - Historic white featuring wild flower aroma & a dry crisp finish
Rosso: Bardolino Classico - Medium body featuring notes of black currant & spice.",Peroni - The Original Italian Lager. A high quality malt & hop lager,"Assaggi - Italian for Small Bites
Bruschetta - One slice of fire roasted rustic bread topped with roasted pepper caponata $3.5 Add Fior di Latte Mozzarella $4.9
Truffled Parmigiano Fries - Crispy fries topped with Parmigiano & Truffle accents $5.9
Arancini - Sicilian rice ball filled with a veal & pork ragu, fior di latte mozzarella, peas, & tomato sauce. $5.9
Melanzana Parmigiana - Italian eggplant, fresh ricotta, fior di latte mozzarella & tomato sauce layered & baked to perfection. $6.9
Carciofi Fritti - Flash fried artichokes served with fresh lemon $6.5",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#gran-caffe-l-aquila,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/cll2oykrma89gm8qdmv3eaxru-grancaffe.pdf,https://www.opentable.com/restaurant/profile/1177819/reserve?ref=9169,"1716 Chestnut St, Philadelphia, PA 19103",39.95118775,-75.16953316,http://grancaffelaquila.com,"['Coffee & Tea', 'Italian', 'Gelato']",$$,1399.0,https://centercityphila.org/uploads/attachments/ckea7wbce2uhykxqd95mjcpxy-d8b02824-5f8f-4d3c-8aa3-1947ecc645ff.289.0.729.729.full.jpg,Y,Y,"['Penn Center', 'Rittenhouse Square']",7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 10:00 PM,,4.3,52.0,88.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,"Classy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining","Dessert, Dinner",,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Grandmas Philly,grandmas-philly-philadelphia,,,,,,,,,,https://www.opentable.com/r/grandmas-philly-reservations-philadelphia?restref=1265755&lang=en-US&ot_source=Restaurant%20website,"1304 Walnut St, Philadelphia, PA 19107",39.94887,-75.16244,https://www.grandmasphilly.com,"['Thai', 'Tapas/Small Plates', 'Tapas Bars']",$$,182.0,,N,N,['Avenue of the Arts South'],Closed,11:30 AM - 11:30 PM,11:30 AM - 11:30 PM,11:30 AM - 11:30 PM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 11:30 PM,,4.3,48.0,46.0,"Street Parking, Garage Parking, Private Lot Parking",,"Credit Cards, Android Pay, Apple Pay","Women-owned, Asian-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Military Discount","Vegan Options, Vegetarian Options",,"Wheelchair Accessible, Gender-neutral restrooms",,Compostable containers available,Takes Reservations,Outdoor Seating,,,,Wi-Fi,,,
Green Eggs Cafe,green-eggs-cafe-philadelphia-9,,,,,,,,,,,"1306 Dickinson St, Philadelphia, PA 19147",39.931348,-75.166497,http://greeneggscafe.com/,"['Breakfast & Brunch', 'American (New)', 'Cafes']",$$,876.0,,N,N,"['Newbold', 'Passyunk Square']",9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,,3.9,43.0,42.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options","Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Brunch,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Green Eggs Café,green-eggs-café-philadelphia-7,,,,,,,,,,,"212 S 13th St, Philadelphia, PA 19107",39.94812255,-75.16246311,http://greeneggscafe.com,"['Breakfast & Brunch', 'American (New)', 'Cafes']",$$,2925.0,,N,N,"['Washington Square West', 'Avenue of the Arts South']",9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,,4.0,52.0,52.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise",Gender-neutral restrooms,,"Plastic-free packaging, Provides reusable tableware, Compostable containers available",Takes Reservations,Outdoor Seating,Brunch,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Green Rock Tavern,green-rock-tavern-philadelphia,,,,,,,,,,,"2546 E Lehigh Ave, Philadelphia, PA 19125",39.97966,-75.11618,,"['Pubs', 'American (Traditional)']",$$,115.0,,N,N,['Kensington'],4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,,4.5,52.0,31.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout",Vegan Options,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,Juke Box,Full Bar,"TV, Pool Table",,,
Gyu-Kaku Japanese BBQ,gyu-kaku-japanese-bbq-philadelphia-3,,,,,,,,,,,"1901 Callowhill St, Philadelphia, PA 19130",39.96071601,-75.17013195,https://www.gyu-kaku.com/philadelphia,"['Japanese', 'Barbeque', 'Asian Fusion']",$$,648.0,,N,N,"['Logan Square', 'Art Museum District', 'Fairmount', 'Spring Garden']",11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 10:00 PM,,3.4,32.0,41.0,"Street Parking, Bike Parking, Private Lot Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Hadramout,hadramout-philadelphia,,,,,,,,,,,"136 S 45th St, Philadelphia, PA 19104",39.9557517,-75.211731,,"['Halal', 'Middle Eastern']",$,107.0,,N,N,"['Spruce Hill', 'Walnut Hill', 'University City']",10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,,4.5,34.0,37.0,,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,Casual,,,,Takes Reservations,,,,,TV,,,
Han Dynasty,han-dynasty-philadelphia,,,,,,,,,,,"123 Chestnut St, Philadelphia, PA 19106",39.94852578,-75.1437278,http://handynasty.net/oldcity/,"['Szechuan', 'Noodles', 'Soup']",$$,1534.0,,N,N,['Old City'],4:00 PM - 9:00 PM,4:00 PM - 9:30 PM,12:00 PM - 9:30 PM,12:00 PM - 9:30 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 9:30 PM,,4.1,49.0,52.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",Asian-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Open to All, Wheelchair Accessible",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Happy Hour, Beer and Wine Only","TV, Wi-Fi",,,
Happy Joy Family Restaurant,happy-joy-family-restaurant-philadelphia,,,,,,,,,,,"1328 W Girard Ave, Philadelphia, PA 19123",39.9709549,-75.15823364,,"['Breakfast & Brunch', 'American (Traditional)']",$,24.0,,N,N,['Avenue of the Arts North'],6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,7:00 AM - 2:00 PM,,4.5,34.0,29.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,,,,,Takes Reservations,Outdoor Seating,,,,"TV, Wi-Fi",,,
Happy Lamb Hot Pot,happy-lamb-hot-pot-philadelphia,,,,,,,,,,,"1017 Arch St, Fl 1, Philadelphia, PA 19107",39.95372,-75.15651,,"['Hot Pot', 'Mongolian', 'Chinese']",$$,239.0,,N,N,['Chinatown'],12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:00 PM,,4.2,46.0,47.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,Outdoor Seating,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Hard Rock Cafe,hard-rock-cafe-philadelphia-5,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#hard-rock-cafe,,House Wine,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#hard-rock-cafe,Participating in lunch and dinner. Offering indoor dining.,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clmb096n1bzuiomqd7jc8oynr-23-hrcne-07600-rw-menu-edits-dinner-8-5x11-no-bleeds.pdf,https://www.opentable.com/restaurant/profile/192508/reserve?ref=9169,"1113 Market St, Philadelphia, PA 19107",39.9520644,-75.1595415,https://www.hardrockcafe.com/location/philadelphia,"['American (Traditional)', 'Burgers']",$$,440.0,https://centercityphila.org/uploads/attachments/cjx3k77o530vhvxqdgft1s60k-sipsgraphic.0.0.720.720.full.jpg,Y,Y,['Market East'],11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 10:00 PM,,2.7,18.0,56.0,"Street Parking, Bike Parking, Validated Parking, Garage Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount",Limited Vegetarian Options,Loud,"Open to All, Wheelchair Accessible",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Hardena/Waroeng Surabaya Restaurant,hardena-waroeng-surabaya-restaurant-philadelphia,,,,,,,,,,,"1754 S Hicks St, Philadelphia, PA 19145",39.92844009,-75.17125702,http://hardenaphilly.com,['Indonesian'],$$,414.0,,N,N,['Point Breeze'],Closed,Closed,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,12:00 PM - 8:00 PM,,4.5,53.0,46.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,Offers Takeout,"Vegan Options, Pescatarian Options, Vegetarian Options","Casual, Quiet",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi",,,
Harp & Crown,harp-and-crown-philadelphia,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#harp-crown1,"SANSOM SODA - Gin, Elderflower, Lemon, Soda
SUNSET KISS - Hornitos Plata Tequila, Aperol, Lemon",Red & White Daily Selection,Daily Selection,"SPICY CHICKEN SANDWICH
hot sauce, ranch, pickle

CHEESEBURGER
american cheese, iceberg, special sauce

SALMON POKE
avocado, sesame oil, wasabi pea

WHIPPED RICOTTA
olive oil, sea salt, bread

LAMB MEATBALL
date relish, green yogurt, mint

SPICY FRIED CHICKEN WING
scallion, sesame, chili

MAC AND CHEESE
cheddar, parmesan, toasted bread crumb

DAILY PIZZA",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#harp-crown1,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clm995pm6bxybwnqdtriuc8rt-harp-crown.pdf,https://resy.com/cities/pha/harp-and-crown,"1525 Sansom St, Philadelphia, PA 19102",39.9505401,-75.1668604,http://harpcrown.com,"['American (New)', 'Gastropubs']",$$,1116.0,https://centercityphila.org/uploads/attachments/ciygaumsv0klnuwqdo25fk4z6-20161118harp-crown-brighter-17.301.0.1800.1800.full.jpg,Y,Y,"['Penn Center', 'Rittenhouse Square']",4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM,10:30 AM - 2:30 PM,10:30 AM - 3:00 PM,,4.1,47.0,74.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options","Trendy, Intimate, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Harper's Garden,harpers-garden-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#harpers-garden6,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/cllaxsp72akupm8qd72mr7xem-harpersgarden.pdf,https://harpersgardenphilly.com/reservations,"31 S. 18th Street, Philadelphia, PA 19103",39.95214322,-75.17012914,https://harpersgardenphilly.com,"['American (New)', 'Tapas/Small Plates', 'Cocktail Bars']",$$,718.0,https://centercityphila.org/uploads/attachments/cjzin27881gsenpqdisp1qbb0-hg-veranda-night.179.0.721.721.full.jpg,N,Y,"['Penn Center', 'Rittenhouse Square']",11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 12:00 AM,True,4.0,44.0,66.0,"Street Parking, Bike Parking","Monday, Wednesday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Classy, Intimate, Romantic, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,"Plastic-free packaging, Provides reusable tableware","Walk-ins Welcome, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining","Lunch, Dessert, Dinner",,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
Harper's Ice Cream,harpers-ice-cream-philadelphia,,,,,,,,,,,"2827 W Girard Ave, Philadelphia, PA 19130",39.97473,-75.18276,http://Harpersicecream.com,['Ice Cream & Frozen Yogurt'],,18.0,,N,N,['Brewerytown'],2:00 PM - 9:00 PM,2:00 PM - 9:00 PM,2:00 PM - 9:00 PM,2:00 PM - 9:00 PM,2:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,,4.8,57.0,32.0,Street Parking,,,,Dinner,Offers Takeout,,,,,,,"Heated Outdoor Seating, Covered Outdoor Seating",,,,,,,
Hatch & Coop,hatch-and-coop-philadelphia-2,,,,,,,,,,,"122 S 12th St, Philadelphia, PA 19107",39.949466,-75.1605349,http://www.hatchandcoop.com,"['American (New)', 'Breakfast & Brunch', 'Chicken Shop']",$,160.0,,N,N,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,3.8,21.0,39.0,"Street Parking, Bike Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Trendy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,"Lunch, Dinner",,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Haveli Virasat,haveli-virasat-philadelphia,,,,,,,,,,,"4051 Market St, Philadelphia, PA 19104",39.95767,-75.20379,https://www.havelivirasat.com,"['Indian', 'Pakistani', 'Halal']",,97.0,,N,N,"['Powelton Village', 'University City']",11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,,4.4,50.0,49.0,Street Parking,,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,Classy,"Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,,,,Alcohol,"TV, Wi-Fi",,,
Hawthornes Beer Cafe,hawthornes-beer-cafe-philadelphia,,,,,,,,,,https://www.opentable.com/hawthornes-reservations-philadelphia?restref=212821&lang=en-US&ot_source=Restaurant%20website,"738 S 11th St, Philadelphia, PA 19147",39.94105,-75.16091,http://www.hawthornecafe.com,"['Beer, Wine & Spirits', 'Breakfast & Brunch', 'American (Traditional)']",$$,761.0,,N,N,['Bella Vista'],10:00 AM - 3:00 PM,Closed,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 9:00 PM,,4.0,44.0,41.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",Women-owned,Dinner,"Offers Delivery, Offers Takeout",Vegan Options,"Classy, Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,"Outdoor Seating, Drive-Thru",,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Hayashi Sushi,hayashi-sushi-philadelphia,,,,,,,,,,,"814 S 47th St, Philadelphia, PA 19143",39.948249,-75.2169454,http://www.hayashisushiphilly.com,"['Sushi Bars', 'Bubble Tea', 'Ramen']",$$,65.0,,N,N,['Cedar Park'],Closed,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,12:00 PM - 9:30 PM,,4.4,50.0,35.0,"Street Parking, Bike Parking, Garage Parking",,Credit Cards,"Women-owned, Asian-owned",Dinner,"Offers Takeout, Offers Catering",,,,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Hello Vietnam Asian Bistr,hello-vietnam-asian-bistr-phila-2,,,,,,,,,,,"722 N 2 St Unit Stre Front Phila, Phila, PA 19123",39.96261088,-75.14122909,https://www.hellovietnamasianbistro.com,['Vietnamese'],,78.0,,N,N,['Northern Liberties'],11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,,4.2,46.0,45.0,Street Parking,,Credit Cards,"Women-owned, Asian-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options",Casual,,True,,Takes Reservations,"Outdoor Seating, Covered Outdoor Seating",,,Alcohol,Wi-Fi,,,
Helm,helm-philadelphia,,,,,,,,,,,"1303 N Fifth St, Philadelphia, PA 19122",39.97154617,-75.14450836,http://helmphilly.com,['American (New)'],$$$,238.0,,N,N,['Olde Kensington'],Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:30 PM,5:00 PM - 10:30 PM,Closed,,4.4,68.0,32.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegan Options,"Classy, Intimate, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
Heng Feng Hand Drawn Noodles,heng-feng-hand-drawn-noodles-philadelphia,,,,,,,,,,,"123 N 10th St, Philadelphia, PA 19107",39.95412057,-75.15603434,http://www.hengfengnoodles.com,"['Shanghainese', 'Taiwanese']",$$,389.0,,N,N,['Chinatown'],10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,,4.0,43.0,48.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Her Place,her-place-philadelphia,,,,,,,,,,https://www.exploretock.com/herplace/,"1740 Sansom St, Philadelphia, PA 19103",39.95074,-75.17016,http://www.herplacephilly.com,"['French', 'Italian', 'Supper Clubs']",,45.0,,N,N,"['Rittenhouse Square', 'Penn Center']",6:00 PM - 8:30 PM,6:00 PM - 8:30 PM,6:00 PM - 8:30 PM,6:00 PM - 8:30 PM,6:00 PM - 8:30 PM,Closed,Closed,,4.5,52.0,43.0,Garage Parking,,,,Dinner,,,"Trendy, Classy, Romantic",,,,Takes Reservations,,,,Full Bar,,,,
Heritage,heritage-philadelphia,,,,,,,,,,https://www.heritage.life/reservations-contact,"914 N 2nd St, Philadelphia, PA 19123",39.96467,-75.14086,http://heritage.life/,"['American (New)', 'Jazz & Blues']",$$,327.0,,N,N,['Northern Liberties'],5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,11:00 AM - 2:30 PM,11:00 AM - 2:30 PM,True,3.9,41.0,52.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Trendy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,Live Music,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Hershel's East Side Deli,hershels-east-side-deli-philadelphia,,,,,,,,,,,"51 N 12th St, Reading Terminal Market, Philadelphia, PA 19107",39.953284,-75.159403,http://www.hershelseastsidedeli.com,"['Delis', 'Sandwiches', 'Salad']",$$,829.0,,N,N,['Market East'],8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,,4.4,52.0,39.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Classy, Casual, Loud",,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
Heung Fa Chun Sweet House,heung-fa-chun-sweet-house-philadelphia,,,,,,,,,,,"112 N 10th St, Philadelphia, PA 19107",39.95390575,-75.15626111,,"['Chinese', 'Desserts']",$,257.0,,N,N,['Chinatown'],7:30 AM - 7:30 PM,7:30 AM - 7:30 PM,Closed,7:30 AM - 7:30 PM,7:30 AM - 7:30 PM,7:30 AM - 7:30 PM,7:30 AM - 7:30 PM,,4.3,31.0,39.0,"Street Parking, Bike Parking",,,,Dinner,,,"Classy, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
Hibiscus Cafe,hibiscus-cafe-philadelphia,,,,,,,,,,,"4907 Catharine St, Philadelphia, PA 19143",39.94851,-75.22156,http://www.hibiscuscafephilly.com,"['Vegetarian', 'Juice Bars & Smoothies', 'Vegan']",$$,168.0,,N,N,['Cedar Park'],10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,Closed,,4.5,52.0,35.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Pescatarian Options","Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,"Dessert, Dinner",,Alcohol,"TV, Wi-Fi",,,
